date,time,ax,ay,az,temp,hum,gas,heart,ir,flame,status
2025-10-29,20:42:24,-1176,15140,-6856,30.90,71.10,1373,97.00,1,1,SAFE
2025-10-29,20:42:24,-1056,15124,-6888,30.90,71.10,1299,97.00,1,1,SAFE
2025-10-29,20:42:24,-1092,15092,-6888,30.90,71.20,1318,97.00,1,1,SAFE
2025-10-29,20:42:25,-1052,15264,-6880,30.90,71.20,1289,97.00,1,1,SAFE
2025-10-29,20:42:26,-1112,15252,-6832,30.90,71.20,1301,98.00,1,1,SAFE
2025-10-29,20:42:27,-1176,15132,-7040,30.90,71.20,1287,97.00,1,1,SAFE
2025-10-29,20:42:28,-708,15088,-6652,30.90,71.20,1310,98.00,1,1,SAFE
2025-10-29,20:42:29,-896,15320,-6764,30.90,71.20,1326,97.00,0,1,UNSAFE
2025-10-29,20:42:30,-1032,15300,-6756,30.90,71.20,1315,98.00,0,1,UNSAFE
2025-10-29,20:42:31,-1036,15340,-6720,30.90,71.20,1316,97.00,0,1,UNSAFE
2025-10-29,20:42:32,-1048,15196,-6768,30.90,71.30,1328,98.00,0,1,UNSAFE
2025-10-29,20:42:33,-908,15028,-6756,30.90,71.30,1314,97.00,0,1,UNSAFE
2025-10-29,20:42:34,144,15256,-5364,30.90,71.30,1299,98.00,1,1,SAFE
2025-10-29,20:42:35,-1192,15216,-6832,30.90,71.30,1310,97.00,1,1,SAFE
2025-10-29,20:42:36,-1148,15212,-6852,30.90,71.30,1301,97.00,1,1,SAFE
2025-10-29,20:42:37,2652,20728,-8376,30.90,71.30,1313,99.00,1,1,UNSAFE
2025-10-29,20:42:38,5144,27812,-6448,30.90,71.30,1277,96.00,1,1,UNSAFE
2025-10-29,20:42:39,672,26976,-3216,30.90,71.30,1290,98.00,1,1,UNSAFE
2025-10-29,20:42:40,5348,0,-10820,30.90,71.30,1294,96.00,1,1,SAFE
2025-10-29,20:42:41,8172,10416,-5924,30.90,71.30,1294,95.00,1,1,SAFE
2025-10-29,20:42:42,8456,19304,-3436,30.90,71.30,1293,96.00,1,1,UNSAFE
2025-10-29,20:42:43,8288,23928,-3108,30.90,71.30,1293,98.00,1,1,UNSAFE
